Sample,Site code,Site name,Common name,Species name,%C,%N,ugC,ugN,d13C,d15N
T3.8.3,T3,Tomago,Mangrove,Avicennia marina,43.4,1.8,2979.2,123.8,-31,5.1
T3.34.1,T3,Tomago,Salt Couch,Sporobolus virginicus,43.9,1,2943.5,66.6,-14.7,3.3
T3.34.2,T3,Tomago,Salt Couch,Sporobolus virginicus,43.4,0.9,3169.3,67.5,-14.7,3.3
T3.34.3,T3,Tomago,Salt Couch,Sporobolus virginicus,43.4,0.8,2962.4,57.4,-14.6,2.6
T4.37.1,T4,Tomago,FBOM,Fine benthic organic matter,1.5,0.1,340.9,22.5,-23.7,-0.2
T4.37.2,T4,Tomago,FBOM,Fine benthic organic matter,4.3,0.3,1788,114.7,-26.2,1.8
T4.8.1,T4,Tomago,Mangrove,Avicennia marina,43.3,1.5,3068.1,108.9,-29.6,2.6
T4.8.2,T4,Tomago,Mangrove,Avicennia marina,43,2,2998,140.2,-30.8,3.8
T4.8.3,T4,Tomago,Mangrove,Avicennia marina,43.3,2.1,2924,144.4,-32.2,3.8
T4.30.1,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,12.9,1.2,898.3,82.1,-29.7,5.4
T4.30.2,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,7.3,0.6,516,45.4,-28.7,5.4
T4.30.3,T4,Tomago,Mangrove Epiphyte,Mangrove pneumatophore epiphyte,7.8,0.6,571.4,43.6,-28.2,5.1
T4.21.1,T4,Tomago,Zoo,Zooplankton,29.7,3.6,1183.6,144,-27.2,3.5
T4.21.2,T4,Tomago,Zoo,Zooplankton,35.4,5.4,1537.6,234.5,-27.7,4.3
T4.21.3,T4,Tomago,Zoo,Zooplankton,22,3.1,788.5,112.2,-27.3,4.4
T4.22.1,T4,Tomago,Zoo,Zooplankton,27.4,4.4,890.5,141.6,-27.6,3.4
T4.22.2,T4,Tomago,Zoo,Zooplankton,31.9,4.8,1297.1,196.8,-27.4,3.8
T4.22.3,T4,Tomago,Zoo,Zooplankton,26.3,4.2,1099.5,174.1,-27.2,3.8
