Sample,Site code,Site name,Species name,Common name,%C,%N,ugC,ugN,d13C,d15N,Type
HR2.3.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,49.5,15.1,811,247.6,-17.6,10.8,Consumer
HR2.4.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,48.5,14.6,955,287.5,-17.9,11.1,Consumer
HR2.4.38.2,HR2,Hunter River,Scylla serrata,Giant Mud Crab,39.1,12,665,204.3,-15.6,10.3,Consumer
HR2.4.38.3,HR2,Hunter River,Scylla serrata,Giant Mud Crab,47.3,14.2,623.9,187.7,-18.4,11,Consumer
HR2.6.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,53.1,16.3,668.8,205.2,-19,11.5,Consumer
HR2.6.38.2,HR2,Hunter River,Scylla serrata,Giant Mud Crab,50.3,14.4,724.3,207.3,-18.6,11,Consumer
HR2.7.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,43.8,13.1,595.1,177.7,-18.9,10,Consumer
HR2.7.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,46.2,14.2,789.9,242.9,-17.5,10.9,Consumer
HR2.8.38.1,HR2,Hunter River,Scylla serrata,Giant Mud Crab,47.9,13.9,871.7,253.6,-20.3,11.9,Consumer
HR3.24.1.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,58,17.8,888,272.5,-20.8,13.9,Consumer
HR3.24.10.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,65.8,21.4,1013.1,330,-21.9,13.9,Consumer
HR3.24.2.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,48.1,14.9,793.5,246.5,-20,10.9,Consumer
HR3.24.3.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,48,15.4,633.5,203.7,-22.4,15.5,Consumer
HR3.24.4.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,49.9,16,807.6,259.4,-21.2,14.5,Consumer
HR3.24.5.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,48.8,15.5,663.6,211.2,-21,14.4,Consumer
HR3.24.6.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,45.3,14.7,680.2,220.4,-22.1,14.7,Consumer
HR3.24.7.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,44.5,14.4,627.5,203.5,-21.4,14.6,Consumer
HR3.24.8.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,47.1,15,597.9,190.3,-24.4,14.8,Consumer
HR3.24.9.M,HR3,Hunter River,Acanthopagrus australis,Yellowfin Bream,49.9,15.8,863.1,272.9,-21.1,13,Consumer
HR3.11.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,45.8,13.9,741.8,225.4,-20.6,11,Consumer
HR3.12.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,48.5,14.5,809.6,241.5,-22,13.7,Consumer
HR3.15.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,48.7,15.1,838,260.1,-24.3,14.6,Consumer
HR3.20.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,39.1,11.9,738.5,225.4,-20.7,12.1,Consumer
HR3.3.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,45.5,13.2,692.1,201,-21,11.4,Consumer
HR3.3.38.2,HR3,Hunter River,Scylla serrata,Giant Mud Crab,44.9,13.1,732.3,214,-20.8,10,Consumer
HR3.4.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,45.2,14.8,800.3,262.6,-18.8,11.7,Consumer
HR3.5.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,45.8,14,750.3,229.7,-21.4,13,Consumer
HR3.5.38.2,HR3,Hunter River,Scylla serrata,Giant Mud Crab,46.5,14,688.5,206.9,-22.7,12.3,Consumer
HR3.9.38.1,HR3,Hunter River,Scylla serrata,Giant Mud Crab,45.9,12.5,739,201.1,-23.7,13,Consumer
