sample,site_code,site_name,common_name,species_name,d13c,d15n
HR3.24.3.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-22.4,15.5
HR3.24.4.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-21.2,14.5
HR3.24.5.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-21,14.4
HR3.24.6.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-22.1,14.7
HR3.24.7.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-21.4,14.6
HR3.24.8.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-24.4,14.8
HR3.24.9.M,HR3,Hunter River,Yellowfin Bream,Acanthopagrus australis,-21.1,13
HR3.11.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-20.6,11
HR3.12.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-22,13.7
HR3.15.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-24.3,14.6
HR3.20.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-20.7,12.1
HR3.3.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-21,11.4
HR3.3.38.2,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-20.8,10
HR3.4.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-18.8,11.7
HR3.5.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-21.4,13
HR3.5.38.2,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-22.7,12.3
HR3.9.38.1,HR3,Hunter River,Giant Mud Crab,Scylla serrata,-23.7,13
